question,image_index,answer_type,ground_truth,prediction,category
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",215,str,C,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",216,str,D,None,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",217,str,A,error: list index out of range,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",218,str,B,d,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",219,str,C,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",220,str,D,a,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",221,str,A,a,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",222,str,B,d,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",223,str,C,d,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",224,str,D,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",225,str,A,error: list index out of range,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",226,str,B,d,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",227,str,C,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",228,str,D,c,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",229,str,A,d,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",230,str,B,a,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",231,str,C,c,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",232,str,D,d,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",233,str,A,None,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",234,str,B,a,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",235,str,C,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",236,str,D,c,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",237,str,A,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",238,str,B,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",239,str,C,d,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",240,str,D,a,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",241,str,A,c,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",242,str,B,c,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",243,str,C,c,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",244,str,D,d,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",245,str,A,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",246,str,B,error,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",247,str,C,,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",248,str,D,c,rotation
"Question: You are a specialized LEGO 3D rotation analyzer. You will be provided with two images: Image 1 and Image 2. Image 2 shows the same LEGO object as Image 1, but rotated clockwise around its center from a top-down perspective (looking down on the LEGO object from above) by one of the following angles: 30°, 60°, 90°, or 120°. Your task is to determine how many degrees the LEGO object in Image 2 has rotated clockwise relative to Image 1. Your answers should be based solely on the provided LEGO 3D data, without any additional assumptions. Keep your responses clear, direct, and focused on the question. Please respond with only the letter corresponding to your choice (A, B, C, or D).\n\nHow many degrees has the LEGO object in Image 2 rotated clockwise around its center relative to Image 1?\n\nImage 1 (original): <image 1>Image 2 (rotated): <image 2>
Options:
  A. 30°
  B. 60°
  C. 90°
  D. 120°
Answer with only the letter of the correct option (e.g. 'A', 'B', 'C', or 'D').",249,str,A,d,rotation
